id_drug_i,id_drug_j,name_i,name_j,description,severity
DB00009,DB00727,Alteplase,Nitroglycerin,IV nitroglycerin decreases the effect,
DB00021,DB00662,Secretin human,Trimethobenzamide,"The stimulatory effect of Secretin may be reduced by anticholinergics such as Trimethobenzamide. Concomitant use of Secretin and drugs with substantial anticholinergic effects should be avoided. If combination therapy must be used, Secretin efficacy should be closely monitored.",
DB00091,DB00104,Cyclosporine,Octreotide,Octreotide decreases the effect of cyclosporine,
DB00091,DB00175,Cyclosporine,Pravastatin,Possible myopathy and rhabdomyolysis,
DB00091,DB00196,Cyclosporine,Fluconazole,Fluconazole increases the effect of the immunosuppressant,
DB00091,DB00207,Cyclosporine,Azithromycin,The macrolide increases the effect of cyclosporine,
DB00091,DB00222,Cyclosporine,Glimepiride,The sulfonylurea increases the effect of cyclosporine,
DB00091,DB00241,Cyclosporine,Butalbital,The barbiturate increases the effect of cyclosporine,
DB00091,DB00328,Cyclosporine,Indomethacin,Monitor for nephrotoxicity,
DB00091,DB00338,Cyclosporine,Omeprazole,Omeprazole increases the effect and toxicity of cyclosporine,
DB00091,DB00343,Cyclosporine,Diltiazem,Diltiazem increases the effect and toxicity of cyclosporine,
DB00091,DB00422,Cyclosporine,Methylphenidate,Methylphenidate increases the effect and toxicity of cyclosporine,
DB00091,DB00437,Cyclosporine,Allopurinol,Allopurinol increases the effect and toxicity of cyclosporine,
DB00091,DB00472,Cyclosporine,Fluoxetine,The antidepressant increases the effect and toxicity of cyclosporine,
DB00091,DB00529,Cyclosporine,Foscarnet,Monitor for nephrotoxicity,
DB00091,DB00537,Cyclosporine,Ciprofloxacin,The quinolone increases the effect and toxicity of cyclosporine,
DB00091,DB00563,Cyclosporine,Methotrexate,Increases the effect and toxicity of methotrexate,
DB00091,DB00582,Cyclosporine,Voriconazole,Voriconazole increases the effect and toxicity of cyclosporine,
DB00091,DB00622,Cyclosporine,Nicardipine,Nicardipine increases the effect and toxicity of cyclosporine,
DB00091,DB00641,Cyclosporine,Simvastatin,Possible myopathy and rhabdomyolysis,
DB00091,DB00658,Cyclosporine,Sevelamer,Sevelamer decreases the effect of cyclosporine,
DB00091,DB00661,Cyclosporine,Verapamil,Verapamil increases the effect of cyclosporine,
DB00091,DB00681,Cyclosporine,Amphotericin B,Monitor for nephrotoxicity,
DB00091,DB00773,Cyclosporine,Etoposide,Increases the effect of etoposide,
DB00091,DB00776,Cyclosporine,Oxcarbazepine,Oxcarbazepine decreases the effect of cyclosporine,
DB00091,DB00788,Cyclosporine,Naproxen,Monitor for nephrotoxicity,
DB00091,DB00794,Cyclosporine,Primidone,The barbiturate increases the effect of cyclosporine,
DB00091,DB00795,Cyclosporine,Sulfasalazine,The sulfonamide decreases the effect of cyclosporine,
DB00091,DB00819,Cyclosporine,Acetazolamide,Acetazolamide increases the effect and toxicity of cyclosporine,
DB00091,DB00864,Cyclosporine,Tacrolimus,Additive toxicities for these agents,
